サークル名,著者,キーワード,ジャンル詳細,詳細ページ,Webサイト,設営場所
"運営事務局","技術書典運営事務局","","運営事務局です！技術季報を販売予定です。その他特製カレンダーやポストカードも販売予定です！完売すると嬉しいです！","https://techbookfest.org/event/tbf06/circle/254520002","https://techbookfest.org/event/tbf06","運01"
"Forkwell","Forkwell技術部","","漫画配布","https://techbookfest.org/event/tbf06/circle/279920002","https://portfolio.forkwell.com/","ス01"
"TechFirm","TechFirm プロダクト部","IT,アプリ","テックファームで作成している、ホテルなどの施設においてあるタブレット用アプリやドローン、また、会社の人に聞いたIT系あるある話の本などがあります。","https://techbookfest.org/event/tbf06/circle/267950001","https://masagomi785.wixsite.com/tfbooks","ス02"
"株式会社メディアドゥ","Tech Do Book 編集部","EPUB","ソフトウェア関連全般的に書いてます。電子コンテンツの会社らしく、「EPUB」を特集した記事もあります。","https://techbookfest.org/event/tbf06/circle/251830001","https://www.mediado.jp/","ス03"
"さくらのナレッジ","さくらのナレッジ編集部","IT,ナレ,ナレッジ","さくらインターネットが運営するITエンジニア向けの情報サイト「さくらのナレッジ」。技術書典6ではさくナレ初の冊子「さくらのナレッジ増刊号」を頒布します！さくナレで未公開の書き下ろし記事も収録。ITエンジニアに役立つ情報＆おもしろネタを全力でシェア！","https://techbookfest.org/event/tbf06/circle/269810002","https://knowledge.sakura.ad.jp/","ス04"
"株式会社ミクシィ","mixi developers","ミクシィグループ","ミクシィグループのエンジニア有志が集まり、実装のコツや実際の現場で使われているノウハウ、その他、プロダクト開発以外でも活用されているツールや個人的に試してみた技術など、それぞれが思うがままに執筆した本を頒布します。","https://techbookfest.org/event/tbf06/circle/277820001","https://mixi.co.jp/recruit/","ス06"
"メルカリ技術書典部","メルカリ技術書典部","メルカリ","メルカリのエンジニアが業務中または趣味開発の中で得た知見を書いた技術書","https://techbookfest.org/event/tbf06/circle/50690008","","ス07"
"TG Tech Club","TOPGATE","GCP","GCPのいろいろ","https://techbookfest.org/event/tbf06/circle/48330001","","ス08"
"ビットバンク株式会社","ビットバンク TypeScript チーム","","ソフトウェア全般","https://techbookfest.org/event/tbf06/circle/249870001","https://bitbank.cc/","ス09"
"虎の穴ラボ","虎の穴ラボ","","会社紹介、技術書","https://techbookfest.org/event/tbf06/circle/253880001","https://yumenosora.co.jp/tora-lab","ス10"
"親方Project","親方","ESP","勉強会参加、技術同人誌執筆に関するノウハウ本。電子工作(ESP32を用いたレーザープロジェクタ自作とその実装技術)","https://techbookfest.org/event/tbf06/circle/59800002","https://note.mu/oyakata2438","あ01"
"mochikoAsTech","mochikoAsTech","pixivPAY,♡,アプリ・,～,～」","「技術をつたえるテクニック ～分かりやすい書き方・話し方～」と「技術同人誌を書いたあなたへ ～著者のしあわせなミライ～」という2冊の新刊を持っていきます。「技術を分かりやすく説明できるようになりたい人」や「技術書を商業出版してみたい人」に向けた本です。気になったら「サークルをチェックリストに追加する」を押して、「あ02」へ遊びに来てください♡お支払い方法は現金・かんたん後払いアプリ・pixivPAYに対応予定です。","https://techbookfest.org/event/tbf06/circle/56310002","https://twitter.com/mochikoAsTech","あ02"
"湊川あいの、わかば家。","湊川あい","CSS,Docker,Git,Google,HTML,HTTP,Ruby,pixivPay,③,アナリティクス,オリジナルキャラクターグッズ","新刊：マンガでわかるRuby、マンガでわかるDocker③や、既刊：HTTPステータスコードのギャグマンガといった個人制作誌のほか、商業本『わかばちゃんと学ぶ』シリーズ（HTML/CSS、Git、Googleアナリティクス）、書籍版『運用☆ちゃん』、オリジナルキャラクターグッズを頒布します。【技術書典かんたん後払い対応・pixivPay対応】","https://techbookfest.org/event/tbf06/circle/42030002","https://llminatoll.booth.pm/","あ03"
"東京電機大学電子技術研究部","電子技研","","部員の制作物報告（電子工作中心）","https://techbookfest.org/event/tbf06/circle/69670003","https://twitter.com/giken_pr","い01"
"神田部品","AKIBAJIN","","電子工作解説本、電子工作キット","https://techbookfest.org/event/tbf06/circle/58260003","http://kandabuhin.web.fc2.com/","い02"
"反省会駆動","れでぃ☆ばぐ","ハードウェアガチ","ハードウェアガチ勢　電子工作　デバイス解説","https://techbookfest.org/event/tbf06/circle/47930005","https://bugsbag.jimdo.com/ft810%E3%81%A7lcd%E8%A1%A8%E7%A4%BA%E3%82%92%E9%81%8A%E3%81%B3%E5%80%92%E3%81%99%E6%9C%AC/","い03"
"mimcap","betaEncoder","","玄人向けマイコンボード","https://techbookfest.org/event/tbf06/circle/42090002","","い04"
"niccolli","niccolli","ゲームボーイカートリッジ","ゲームボーイカートリッジの自作と活用について","https://techbookfest.org/event/tbf06/circle/63740001","https://log.niccol.li/","い05"
"CUBIC STYLE","タクト","GB,GBA","携帯ゲーム機向けの同人ソフトや同人誌を作っています。新刊はGBやGBA開発ノウハウ本や開発用ハードなどを予定しています。","https://techbookfest.org/event/tbf06/circle/61700002","https://cubic-style.jp/","い06"
"はにらぼ","bakueikozo","プレイステーションクラシック","プレイステーションクラシック改造","https://techbookfest.org/event/tbf06/circle/52240001","http://honeylab.hatenablog.jp/","い07"
"猫とロボット社","いいだなひろ","","ハードウェアハッカーのための仕様検討法、ツールと製作記","https://techbookfest.org/event/tbf06/circle/42260006","https://www.nekotorobot.com/","い08"
"みかんProject","Kashiken","DAC","自作ハードウェアの製作に関する技術書。技術書典6では、ミキシングアンプを自作する本、ΔΣDACの設計本を頒布予定です。","https://techbookfest.org/event/tbf06/circle/42080003","http://never-ending-project.org/","い09"
"IoT寺子屋","大邦将猛","ArduinoIDE,ESP,FPGA,Fi,IT,MQTT,PYNQ,Python,ULTRA,Wi,Z","既刊本：ArduinoIDEでWi-FiマイコンESP32を操ろう。（１２０冊頒布）は初心者へのマイコンプログラミング入門書としてセンサー・モータの扱いとWi-FiやMQTTの通信を解説しつくしました。ニッチな分野なのに結構お求めいただけたが、さらに時代先取りしてPythonで動かせるFPGAボードPYNQの解説本（PYNQ-Z1とULTRA96版）とIT技術で副業をするための指南本を刊行予定。","https://techbookfest.org/event/tbf06/circle/56130002","https://iotterakoya.connpass.com/","い10"
"調布技研","chibiegg (こたまご)",")、,NTP,Pi,Raspberry,STM,インフラマスキングテープ","NTPサーバ開発(Raspberry Pi、STM32)、インフラ写真集〜通信篇〜、インフラマスキングテープ","https://techbookfest.org/event/tbf06/circle/44690003","https://chofu.tech/","い11"
"日本アキバ学会","えきどなG","Arduino,bit,micro,サイバーセキュリティ","Arduinoとmicro:bitを使った電子工作入門シリーズ、サイバーセキュリティ研究シリーズ","https://techbookfest.org/event/tbf06/circle/67560005","https://techbookfest.org/event/tbf04/circle/18260003","い12"
"カンテンボーキ","サニ",")．,PIC,Pi,Raspberry,ドローン,ブロックシューター","Raspberry Piとマイコン(PICを予定)を用いた対ドローン高射砲(ブロックシューター)の設計・製作についての本．対象は電子工作初心者(自分も初心者であるため)．今回は準備号とし，理論式の導出を行う．","https://techbookfest.org/event/tbf06/circle/42080002","https://twitter.com/snyrnycldy","い13"
"Raspberry Pi もくもく会","Raspberry Pi もくもく会","Pi,Raspberry,Tips,ラズパイ","Raspberry Pi もくもく会メンバー厳選の 今すぐできる活用レシピ集。ラズパイをちょっと便利に使うTipsから、活用事例の紹介など。キーホルダーもあるよ！","https://techbookfest.org/event/tbf06/circle/67700001","https://raspberry-pi-moku.connpass.com/","い14"
